Bin,symbol,size,color,fillcol,position
HMP_2012__SRS018791__bin.9,2,1,#000000,1,1
SEQF2917.1,2,1,#000000,1,1
SEQF7380.1,2,1,#000000,1,1
SEQF1672.1,2,1,#000000,1,1
HMP_2012__SRS011086__bin.16,2,1,#000000,1,1
SEQF5910.1,2,1,#000000,1,1
SEQF2777.2,2,1,#000000,1,1
CMC012.B.bin.r.7,2,1,#000000,1,1
SEQF1045.1,2,1,#000000,1,1
SEQF3066.1,2,1,#000000,1,1
SEQF1102.1,2,1,#000000,1,1
ERS3774379.bin.r.28,2,1,#000000,1,1
CM_periimplantitis__SP_323SPI_T016__bin.7,2,1,#000000,1,1
CMC034.B.bin.r.39,2,1,#000000,1,1
SEQF9761.1,2,1,#000000,1,1
SEQF9805.1,2,1,#000000,1,1
SEQF4006.1,2,1,#000000,1,1
SEQF4018.1,2,1,#000000,1,1
SEQF6169.1,2,1,#000000,1,1
SEQF2079.1,2,1,#000000,1,1
SEQF5144.1,2,1,#000000,1,1
SEQF5131.1,2,1,#000000,1,1
SEQF5146.1,2,1,#000000,1,1
SEQF3153.1,2,1,#000000,1,1
SEQF7235.1,2,1,#000000,1,1
SEQF5968.1,2,1,#000000,1,1
SEQF6397.1,2,1,#000000,1,1
SEQF8118.1,2,1,#000000,1,1
SEQF8114.1,2,1,#000000,1,1
SEQF9880.1,2,1,#000000,1,1
SEQF9875.1,2,1,#000000,1,1
SEQF4326.1,2,1,#000000,1,1
SEQF4629.1,2,1,#000000,1,1
SEQF1944.2,2,1,#000000,1,1
SEQF4492.1,2,1,#000000,1,1
SEQF2327.1,2,1,#000000,1,1
SEQF7273.1,2,1,#000000,1,1
SEQF10123.1,2,1,#000000,1,1
SEQF4340.1,2,1,#000000,1,1
SEQF4332.1,2,1,#000000,1,1
SEQF6388.1,2,1,#000000,1,1
SEQF1957.1,2,1,#000000,1,1
SEQF6392.1,2,1,#000000,1,1
SEQF2445.1,2,1,#000000,1,1
SEQF3517.1,2,1,#000000,1,1
SEQF2295.2,2,1,#000000,1,1
SEQF9503.1,2,1,#000000,1,1
SEQF8075.2,2,1,#000000,1,1
SEQF8099.1,2,1,#000000,1,1
SEQF8082.1,2,1,#000000,1,1
SEQF1239.1,2,1,#000000,1,1
SEQF8076.1,2,1,#000000,1,1
SEQF8073.1,2,1,#000000,1,1
SEQF5331.1,2,1,#000000,1,1
SEQF3061.1,2,1,#000000,1,1
SEQF7476.1,2,1,#000000,1,1
SEQF2076.2,2,1,#000000,1,1
SEQF7509.1,2,1,#000000,1,1
SEQF7514.1,2,1,#000000,1,1
SEQF5173.1,2,1,#000000,1,1
SEQF2774.1,2,1,#000000,1,1
SEQF4724.1,2,1,#000000,1,1
SEQF4726.1,2,1,#000000,1,1
SEQF2446.1,2,1,#000000,1,1
SEQF1598.1,2,1,#000000,1,1
SEQF1890.1,2,1,#000000,1,1
MGYG000298138,2,1,#000000,1,1
SEQF1616.1,2,1,#000000,1,1
SEQF1914.1,2,1,#000000,1,1
CMC043.B.bin.r.24,2,1,#000000,1,1
SEQF1958.1,2,1,#000000,1,1
SEQF2454.1,2,1,#000000,1,1
SEQF2919.1,2,1,#000000,1,1
SEQF1673.1,2,1,#000000,1,1
SEQF1951.2,2,1,#000000,1,1
SEQF2805.1,2,1,#000000,1,1
CMC032.B.bin.r.16,2,1,#000000,1,1
SEQF3152.1,2,1,#000000,1,1
SEQF3721.1,2,1,#000000,1,1
SEQF8111.1,2,1,#000000,1,1
SEQF9209.1,2,1,#000000,1,1
SEQF1599.1,2,1,#000000,1,1
SEQF3706.1,2,1,#000000,1,1
MGYG000298749,2,1,#000000,1,1
SEQF1933.1,2,1,#000000,1,1
SEQF1670.1,2,1,#000000,1,1
ERS3395772.bin.r.31,2,1,#000000,1,1
MGYG000298153,2,1,#000000,1,1
SEQF1480.1,2,1,#000000,1,1
SEQF1084.1,2,1,#000000,1,1
SEQF2726.1,2,1,#000000,1,1
MGYG000298629,2,1,#000000,1,1
SEQF1003.1,2,1,#000000,1,1
MGYG000298195,2,1,#000000,1,1
SEQF2451.1,2,1,#000000,1,1
SEQF2808.1,2,1,#000000,1,1
SEQF1655.1,2,1,#000000,1,1
SEQF2794.1,2,1,#000000,1,1
CMC011.B.bin.r.88,2,1,#000000,1,1
SEQF2053.1,2,1,#000000,1,1
HMP_2012__SRS021477__bin.14,2,1,#000000,1,1
SEQF2537.1,2,1,#000000,1,1
SEQF2749.1,2,1,#000000,1,1
SEQF4392.1,2,1,#000000,1,1
SEQF4369.1,2,1,#000000,1,1
SEQF4362.1,2,1,#000000,1,1
SEQF4360.1,2,1,#000000,1,1
SEQF4386.1,2,1,#000000,1,1
SEQF4357.1,2,1,#000000,1,1
SEQF4355.1,2,1,#000000,1,1
SEQF4385.1,2,1,#000000,1,1
SEQF2174.1,2,1,#000000,1,1
SEQF4363.1,2,1,#000000,1,1
SEQF6684.1,2,1,#000000,1,1
HMP_2012__SRS050669__bin.9,2,1,#000000,1,1
ERS12516993.bin.r.12,2,1,#000000,1,1
SEQF6679.1,2,1,#000000,1,1
SEQF6654.1,2,1,#000000,1,1
ERS3395764.bin.r.11,2,1,#000000,1,1
SEQF6847.1,2,1,#000000,1,1
SEQF1948.2,2,1,#000000,1,1
SEQF2313.1,2,1,#000000,1,1
SEQF2574.1,2,1,#000000,1,1
SEQF1647.1,2,1,#000000,1,1
SEQF9509.1,2,1,#000000,1,1
SEQF7622.1,2,1,#000000,1,1
SEQF7621.1,2,1,#000000,1,1
SEQF7619.1,2,1,#000000,1,1
SEQF2804.1,2,1,#000000,1,1
SEQF7620.1,2,1,#000000,1,1
MGYG000299216,2,1,#000000,1,1
MGYG000299216,2,1,#000000,1,1
ERS3395771.bin.r.7,2,1,#000000,1,1
SEQF3089.1,2,1,#000000,1,1
MGYG000298573,2,1,#000000,1,1
SEQF1701.1,2,1,#000000,1,1
SEQF2594.1,2,1,#000000,1,1
SEQF2781.1,2,1,#000000,1,1
SEQF3062.1,2,1,#000000,1,1
SEQF8130.1,2,1,#000000,1,1
SEQF8145.1,2,1,#000000,1,1
SEQF8135.1,2,1,#000000,1,1
SEQF3095.1,2,1,#000000,1,1
SEQF3738.1,2,1,#000000,1,1
SEQF8715.1,2,1,#000000,1,1
SEQF5165.1,2,1,#000000,1,1
