Sample	MAG_accession	site
RDPYD18088931	GWHAQGF00000000	tongue
RDPYD18088933	GWHAQGG00000000	tongue
RDPYD18088935	GWHAQGH00000000	tongue
RDPYD18088935	GWHAQGI00000000	tongue
RDPYD18088938	GWHAQGJ00000000	tongue
RDPYD18088938	GWHAQGK00000000	tongue
RDPYD18088940	GWHAQGL00000000	tongue
RDPYD18088940	GWHAQGM00000000	tongue
RDPYD18088941	GWHAQGN00000000	tongue
RDPYD18088942	GWHAQGO00000000	tongue
RDPYD18088943	GWHAQGP00000000	tongue
RDPYD18088943	GWHAQGQ00000000	tongue
RDPYD18088944	GWHAQGR00000000	tongue
RDPYD18088952	GWHAQGS00000000	saliva
RDPYD18088954	GWHAQGT00000000	saliva
RDPYD18088958	GWHAQGU00000000	saliva
RDPYD18088964	GWHAQGV00000000	saliva
RDPYD18088967	GWHAQGW00000000	saliva
RDPYD18088967	GWHAQGX00000000	saliva
RDPYD18088968	GWHAQGY00000000	saliva
RDPYD18088969	GWHAQGZ00000000	saliva
RDPYD18088970	GWHAQHA00000000	saliva
RDPYD18088976	GWHAQHB00000000	saliva
RDPYD18088981	GWHAQHC00000000	saliva
RDPYD18088981	GWHAQHD00000000	saliva
RDPYD18088982	GWHAQHE00000000	saliva
RDPYD18088982	GWHAQHF00000000	saliva
RDPYD18088983	GWHAQHG00000000	saliva
RDPYD18088991	GWHAQHH00000000	tongue
RDPYD18088993	GWHAQHI00000000	tongue
RDPYD18088994	GWHAQHJ00000000	tongue
RDPYD18088994	GWHAQHK00000000	tongue
RDPYD18088996	GWHAQHL00000000	tongue
RDPYD18088996	GWHAQHM00000000	tongue
RDPYD18088997	GWHAQHN00000000	tongue
RDPYD18089001	GWHAQHO00000000	tongue
RDPYD18089001	GWHAQHP00000000	tongue
RDPYD18089002	GWHAQHQ00000000	tongue
RDPYD18089002	GWHAQHR00000000	tongue
RDPYD18089003	GWHAQHS00000000	tongue
RDPYD18089006	GWHAQHT00000000	tongue
RDPYD18089006	GWHAQHU00000000	tongue
RDPYD18089007	GWHAQHV00000000	tongue
RDPYD18089011	GWHAQHW00000000	tongue
RDPYD18089011	GWHAQHX00000000	tongue
RDPYD18089014	GWHAQHY00000000	tongue
RDPYD18089015	GWHAQHZ00000000	tongue
