Bin	Base	mean_damage	Study	primary_cluster	SampleID	library_treatment	library_polymerase
ERS3774470.bin.r.13	0	0.224623655913979	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	0	0.224623655913979	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	1	0.130716845878136	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	1	0.130716845878136	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	2	0.0800286738351255	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	2	0.0800286738351255	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	3	0.0632437275985663	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	3	0.0632437275985663	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	4	0.0529856630824373	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	4	0.0529856630824373	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	5	0.0424623655913979	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.13	5	0.0424623655913979	FellowsYates2021	1190	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	0	0.23620145631068	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	0	0.23620145631068	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	1	0.143541262135922	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	1	0.143541262135922	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	2	0.0872766990291262	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	2	0.0872766990291262	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	3	0.0695606796116505	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	3	0.0695606796116505	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	4	0.0582839805825243	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	4	0.0582839805825243	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	5	0.0472572815533981	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774470.bin.r.3	5	0.0472572815533981	FellowsYates2021	1189	ERS3774470	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774474.bin.r.2	0	0.0400283911671924	FellowsYates2021	1188	ERS3774474	None	PfuTurbo Cx Hotstart DNA
ERS3774474.bin.r.2	1	0.0338627760252366	FellowsYates2021	1188	ERS3774474	None	PfuTurbo Cx Hotstart DNA
ERS3774474.bin.r.2	2	0.0246041009463722	FellowsYates2021	1188	ERS3774474	None	PfuTurbo Cx Hotstart DNA
ERS3774474.bin.r.2	3	0.0221214511041009	FellowsYates2021	1188	ERS3774474	None	PfuTurbo Cx Hotstart DNA
ERS3774474.bin.r.2	4	0.0178501577287066	FellowsYates2021	1188	ERS3774474	None	PfuTurbo Cx Hotstart DNA
ERS3774474.bin.r.2	5	0.0161403785488959	FellowsYates2021	1188	ERS3774474	None	PfuTurbo Cx Hotstart DNA
ERS3774482.bin.r.2	0	0.147322422258592	FellowsYates2021	1187	ERS3774482	None	PfuTurbo Cx Hotstart DNA
ERS3774482.bin.r.2	1	0.11676759410802	FellowsYates2021	1187	ERS3774482	None	PfuTurbo Cx Hotstart DNA
ERS3774482.bin.r.2	2	0.094037643207856	FellowsYates2021	1187	ERS3774482	None	PfuTurbo Cx Hotstart DNA
ERS3774482.bin.r.2	3	0.091962356792144	FellowsYates2021	1187	ERS3774482	None	PfuTurbo Cx Hotstart DNA
